"","age","maritl","race","education","jobclass","wage"
"10603",53,"2. Married","2. Black","2. HS Grad","2. Information",70.4760196469445
"86007",46,"4. Divorced","1. White","4. College Grad","2. Information",99.6894636984864
"306146",42,"2. Married","1. White","3. Some College","1. Industrial",98.5993438603892
"84287",30,"1. Never Married","1. White","1. < HS Grad","1. Industrial",86.6951548289402
"377509",34,"2. Married","3. Asian","4. College Grad","2. Information",118.884359339886
"306688",22,"1. Never Married","1. White","3. Some College","1. Industrial",59.0970640815891
"302888",37,"1. Never Married","1. White","2. HS Grad","2. Information",92.7295279091354
"377799",27,"2. Married","1. White","3. Some College","1. Industrial",63.1888610037461
"381003",52,"2. Married","1. White","2. HS Grad","2. Information",114.475713290347
"83368",52,"2. Married","1. White","2. HS Grad","1. Industrial",148.413159102577
"11548",54,"1. Never Married","2. Black","3. Some College","2. Information",109.489841452174
"304155",47,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"9144",21,"1. Never Married","2. Black","3. Some College","2. Information",105.927810775063
"11624",42,"2. Married","1. White","4. College Grad","2. Information",134.705375118879
"153897",72,"2. Married","1. White","5. Advanced Degree","2. Information",189.244162932803
"157384",38,"2. Married","3. Asian","2. HS Grad","2. Information",104.921506533664
"380993",60,"2. Married","1. White","2. HS Grad","1. Industrial",76.8936025176112
"10899",45,"4. Divorced","2. Black","2. HS Grad","2. Information",73.7757432746946
"374347",61,"2. Married","1. White","2. HS Grad","2. Information",106.608021493532
"374986",64,"4. Divorced","1. White","2. HS Grad","2. Information",95.2307125669819
"375451",25,"1. Never Married","2. Black","3. Some College","2. Information",56.4538649754188
"379725",51,"4. Divorced","1. White","3. Some College","1. Industrial",105.927810775063
"88050",58,"2. Married","1. White","2. HS Grad","1. Industrial",75.0431540173515
"451349",52,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
"306255",41,"1. Never Married","1. White","3. Some College","1. Industrial",99.6894636984864
"82384",42,"2. Married","1. White","2. HS Grad","1. Industrial",95.2307125669819
"378696",31,"1. Never Married","1. White","3. Some College","1. Industrial",94.0727147457005
"230105",53,"2. Married","1. White","4. College Grad","2. Information",109.833985642199
"157526",52,"2. Married","1. White","4. College Grad","1. Industrial",191.573683548412
"231448",39,"2. Married","3. Asian","4. College Grad","2. Information",148.413159102577
"449095",63,"2. Married","1. White","5. Advanced Degree","2. Information",171.765132627508
"303172",23,"1. Never Married","1. White","2. HS Grad","1. Industrial",73.4544282607621
"81506",62,"2. Married","2. Black","2. HS Grad","2. Information",87.9810327856054
"80235",43,"2. Married","1. White","5. Advanced Degree","2. Information",272.294783220064
"375234",34,"2. Married","2. Black","4. College Grad","2. Information",123.089699847943
"156633",38,"2. Married","3. Asian","5. Advanced Degree","2. Information",91.6992261117042
"8450",64,"2. Married","2. Black","2. HS Grad","2. Information",109.833985642199
"160165",49,"2. Married","1. White","4. College Grad","1. Industrial",114.475713290347
"451015",46,"2. Married","1. White","4. College Grad","1. Industrial",84.3157688645753
"232095",30,"2. Married","1. White","5. Advanced Degree","2. Information",114.475713290347
"154723",33,"1. Never Married","1. White","3. Some College","1. Industrial",57.3525910796177
"304780",29,"2. Married","1. White","4. College Grad","2. Information",104.921506533664
"377397",32,"2. Married","1. White","2. HS Grad","2. Information",125.525498433836
"303182",54,"2. Married","1. White","2. HS Grad","2. Information",108.874525834712
"11131",40,"1. Never Married","2. Black","2. HS Grad","1. Industrial",65.1108537153447
"7535",24,"1. Never Married","1. White","4. College Grad","1. Industrial",109.833985642199
"375336",30,"5. Separated","1. White","1. < HS Grad","1. Industrial",70.8150386167557
"451744",49,"2. Married","1. White","4. College Grad","1. Industrial",145.143601176911
"232578",47,"2. Married","4. Other","2. HS Grad","1. Industrial",101.82435207568
"374914",25,"1. Never Married","2. Black","2. HS Grad","1. Industrial",84.0459576539924
"307821",44,"2. Married","1. White","3. Some College","1. Industrial",134.705375118879
"305822",41,"4. Divorced","1. White","1. < HS Grad","2. Information",97.4932940453934
"7495",54,"5. Separated","1. White","4. College Grad","1. Industrial",154.68529299563
"448887",63,"2. Married","2. Black","5. Advanced Degree","1. Industrial",91.6992261117042
"453745",49,"1. Never Married","1. White","3. Some College","2. Information",109.833985642199
"375738",35,"5. Separated","2. Black","3. Some College","2. Information",114.475713290347
"229672",24,"1. Never Married","3. Asian","2. HS Grad","1. Industrial",66.2294082943902
"161522",66,"2. Married","1. White","2. HS Grad","1. Industrial",92.8958447894966
"378510",57,"2. Married","4. Other","1. < HS Grad","1. Industrial",94.0727147457005
"160189",47,"2. Married","1. White","4. College Grad","2. Information",118.884359339886
"230629",44,"2. Married","1. White","4. College Grad","1. Industrial",132.487821126123
"233946",56,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
"86943",34,"2. Married","1. White","2. HS Grad","2. Information",99.6894636984864
"230497",23,"2. Married","1. White","1. < HS Grad","1. Industrial",40.4056652596845
"377005",30,"2. Married","1. White","4. College Grad","1. Industrial",138.299126920883
"80350",38,"2. Married","1. White","3. Some College","1. Industrial",102.870246933215
"301556",58,"4. Divorced","1. White","3. Some College","2. Information",111.720849360989
"8888",36,"2. Married","1. White","2. HS Grad","1. Industrial",62.198679430261
"307676",48,"1. Never Married","1. White","2. HS Grad","2. Information",70.4760196469445
"7381",35,"2. Married","1. White","2. HS Grad","2. Information",86.0428011301927
"233790",22,"1. Never Married","1. White","2. HS Grad","2. Information",99.6894636984864
"303636",50,"2. Married","1. White","4. College Grad","2. Information",113.567089569751
"81716",58,"2. Married","1. White","1. < HS Grad","1. Industrial",100.764272842107
"307816",44,"2. Married","1. White","2. HS Grad","1. Industrial",113.61274572643
"450754",55,"2. Married","1. White","2. HS Grad","1. Industrial",104.923531700709
"380391",50,"2. Married","1. White","4. College Grad","2. Information",148.413159102577
"452617",24,"2. Married","1. White","1. < HS Grad","1. Industrial",148.413159102577
"452685",53,"2. Married","1. White","3. Some College","2. Information",109.833985642199
"154958",35,"2. Married","1. White","2. HS Grad","2. Information",81.2832532842527
"161421",25,"1. Never Married","1. White","1. < HS Grad","2. Information",79.8549003093467
"229694",24,"1. Never Married","3. Asian","4. College Grad","1. Industrial",109.833985642199
"7822",57,"5. Separated","1. White","4. College Grad","1. Industrial",148.413159102577
"12679",43,"2. Married","1. White","1. < HS Grad","2. Information",65.1108537153447
"447486",33,"2. Married","1. White","3. Some College","2. Information",88.2986994723057
"13835",40,"2. Married","1. White","3. Some College","2. Information",91.6992261117042
"379762",39,"1. Never Married","1. White","4. College Grad","1. Industrial",73.7757432746946
"81141",32,"2. Married","1. White","5. Advanced Degree","2. Information",70.4760196469445
"7699",48,"4. Divorced","1. White","4. College Grad","2. Information",128.680488220624
"85842",29,"2. Married","1. White","5. Advanced Degree","1. Industrial",94.0727147457005
"84080",41,"2. Married","1. White","2. HS Grad","1. Industrial",133.232350826567
"451706",52,"2. Married","1. White","2. HS Grad","1. Industrial",134.705375118879
"85144",35,"2. Married","3. Asian","4. College Grad","2. Information",160.635498596854
"302797",27,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
"81223",57,"2. Married","1. White","5. Advanced Degree","1. Industrial",114.475713290347
"88062",48,"2. Married","1. White","3. Some College","2. Information",97.4932940453934
"452864",41,"4. Divorced","2. Black","3. Some College","2. Information",98.0483505056004
"12144",59,"2. Married","1. White","5. Advanced Degree","2. Information",104.921506533664
"160944",55,"2. Married","1. White","4. College Grad","2. Information",109.833985642199
"8105",54,"4. Divorced","1. White","2. HS Grad","2. Information",133.232350826567
"154672",34,"2. Married","1. White","5. Advanced Degree","1. Industrial",118.884359339886
"453271",43,"1. Never Married","1. White","2. HS Grad","2. Information",73.7757432746946
"233690",45,"1. Never Married","1. White","2. HS Grad","2. Information",97.4932940453934
"86143",40,"2. Married","1. White","4. College Grad","1. Industrial",145.805163374625
"156740",33,"2. Married","1. White","2. HS Grad","2. Information",82.6796372966372
"12718",45,"2. Married","1. White","5. Advanced Degree","2. Information",148.413159102577
"449744",21,"1. Never Married","1. White","3. Some College","1. Industrial",49.5553381215226
"448117",54,"2. Married","3. Asian","1. < HS Grad","1. Industrial",73.7757432746946
"154750",43,"2. Married","1. White","4. College Grad","1. Industrial",73.7757432746946
"83654",54,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
"227939",61,"3. Widowed","1. White","2. HS Grad","1. Industrial",111.440469567068
"80897",51,"4. Divorced","1. White","4. College Grad","1. Industrial",138.299126920883
"154839",20,"1. Never Married","1. White","2. HS Grad","1. Industrial",75.3556793180091
"450873",65,"2. Married","1. White","2. HS Grad","2. Information",118.884359339886
"377920",24,"1. Never Married","1. White","2. HS Grad","1. Industrial",66.2330957333126
"376938",33,"2. Married","1. White","5. Advanced Degree","2. Information",276.778413321176
"447645",36,"4. Divorced","1. White","2. HS Grad","1. Industrial",86.9103277389946
"80720",32,"2. Married","1. White","2. HS Grad","1. Industrial",109.833985642199
"155453",37,"2. Married","1. White","5. Advanced Degree","2. Information",196.125272594255
"378199",41,"2. Married","1. White","3. Some College","2. Information",121.430313822622
"447458",57,"2. Married","1. White","4. College Grad","1. Industrial",128.680488220624
"232327",61,"2. Married","1. White","5. Advanced Degree","2. Information",148.413159102577
"301930",47,"4. Divorced","1. White","3. Some College","1. Industrial",85.3839403789827
"158517",29,"2. Married","3. Asian","4. College Grad","2. Information",87.9810327856054
"12579",37,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"13995",57,"2. Married","1. White","2. HS Grad","1. Industrial",148.413159102577
"82195",39,"1. Never Married","1. White","5. Advanced Degree","2. Information",81.2832532842527
"306499",59,"2. Married","1. White","4. College Grad","2. Information",145.805163374625
"302319",31,"2. Married","1. White","4. College Grad","2. Information",149.055895589404
"447816",26,"1. Never Married","1. White","2. HS Grad","1. Industrial",97.4932940453934
"449074",51,"2. Married","1. White","2. HS Grad","1. Industrial",118.019753340006
"229524",38,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"232133",51,"2. Married","1. White","4. College Grad","2. Information",118.884359339886
"85388",50,"2. Married","1. White","2. HS Grad","2. Information",79.8549003093467
"13298",32,"2. Married","1. White","5. Advanced Degree","1. Industrial",118.884359339886
"7589",49,"2. Married","1. White","2. HS Grad","1. Industrial",176.989650489877
"160497",41,"2. Married","1. White","4. College Grad","2. Information",130.982177377461
"450224",32,"1. Never Married","1. White","3. Some College","2. Information",114.475713290347
"378718",53,"2. Married","1. White","2. HS Grad","1. Industrial",134.705375118879
"13370",35,"2. Married","1. White","3. Some College","2. Information",97.4932940453934
"380165",50,"2. Married","1. White","2. HS Grad","1. Industrial",109.833985642199
"86118",43,"2. Married","1. White","4. College Grad","2. Information",171.765132627508
"159505",50,"5. Separated","1. White","2. HS Grad","2. Information",67.8267871319966
"450919",19,"1. Never Married","2. Black","2. HS Grad","2. Information",73.7757432746946
"302736",53,"2. Married","3. Asian","2. HS Grad","1. Industrial",66.9616443217359
"81910",22,"1. Never Married","2. Black","3. Some College","2. Information",95.2307125669819
"159140",49,"2. Married","1. White","2. HS Grad","1. Industrial",98.5993438603892
"8846",33,"1. Never Married","1. White","2. HS Grad","1. Industrial",109.833985642199
"7415",31,"1. Never Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"452789",57,"2. Married","1. White","5. Advanced Degree","2. Information",109.833985642199
"13535",40,"2. Married","1. White","5. Advanced Degree","2. Information",148.413159102577
"156743",48,"2. Married","1. White","2. HS Grad","2. Information",84.5294690248517
"87391",46,"2. Married","1. White","4. College Grad","1. Industrial",101.82435207568
"155733",50,"2. Married","1. White","1. < HS Grad","1. Industrial",104.921506533664
"12600",38,"2. Married","1. White","3. Some College","2. Information",99.6894636984864
"80237",33,"1. Never Married","1. White","5. Advanced Degree","2. Information",101.402052302992
"306346",52,"2. Married","1. White","3. Some College","2. Information",149.055895589404
"81445",48,"2. Married","1. White","1. < HS Grad","1. Industrial",73.7757432746946
"231389",53,"2. Married","1. White","5. Advanced Degree","2. Information",160.642475408263
"378598",37,"1. Never Married","1. White","3. Some College","2. Information",118.884359339886
"306310",43,"2. Married","1. White","2. HS Grad","1. Industrial",119.405204322401
"380028",54,"2. Married","1. White","3. Some College","1. Industrial",107.903923866876
"11321",57,"2. Married","1. White","4. College Grad","1. Industrial",75.3556793180091
"447298",25,"4. Divorced","1. White","2. HS Grad","1. Industrial",76.8936025176112
"161253",35,"5. Separated","1. White","1. < HS Grad","2. Information",62.198679430261
"377359",29,"2. Married","1. White","3. Some College","1. Industrial",182.020620963512
"453728",36,"2. Married","1. White","2. HS Grad","1. Industrial",267.901086855275
"14042",43,"2. Married","1. White","4. College Grad","1. Industrial",141.77517233318
"304908",41,"2. Married","1. White","4. College Grad","2. Information",186.876677628007
"160028",52,"2. Married","1. White","4. College Grad","1. Industrial",72.1504556815713
"13005",48,"2. Married","1. White","2. HS Grad","1. Industrial",49.5553381215226
"158124",51,"2. Married","2. Black","2. HS Grad","2. Information",81.2832532842527
"82851",37,"2. Married","1. White","5. Advanced Degree","2. Information",97.4932940453934
"305392",48,"1. Never Married","1. White","3. Some College","1. Industrial",111.720849360989
"153650",42,"2. Married","1. White","1. < HS Grad","1. Industrial",101.82435207568
"304093",43,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
"233121",32,"2. Married","1. White","2. HS Grad","1. Industrial",87.9810327856054
"230850",33,"1. Never Married","1. White","4. College Grad","1. Industrial",84.0459576539924
"157822",48,"2. Married","1. White","2. HS Grad","1. Industrial",78.3924668009837
"451294",20,"1. Never Married","2. Black","3. Some College","2. Information",46.3665027412862
"14543",43,"2. Married","1. White","2. HS Grad","1. Industrial",132.860765311572
"83903",38,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
"378535",23,"1. Never Married","1. White","2. HS Grad","2. Information",66.2294082943902
"301347",66,"2. Married","1. White","5. Advanced Degree","1. Industrial",99.6894636984864
"453420",47,"2. Married","1. White","5. Advanced Degree","2. Information",152.838800991182
"155699",35,"2. Married","1. White","3. Some College","2. Information",76.8936025176112
"380739",39,"2. Married","1. White","2. HS Grad","1. Industrial",143.134940811134
"9766",35,"1. Never Married","2. Black","3. Some College","2. Information",125.20428658029
"234383",40,"2. Married","1. White","3. Some College","1. Industrial",75.610695863947
"232723",41,"2. Married","3. Asian","2. HS Grad","1. Industrial",109.833985642199
"81234",40,"2. Married","1. White","5. Advanced Degree","2. Information",176.989650489877
"229581",50,"2. Married","2. Black","2. HS Grad","1. Industrial",59.0970640815891
"87788",35,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"452608",43,"2. Married","1. White","3. Some College","1. Industrial",95.2307125669819
"451324",23,"1. Never Married","1. White","2. HS Grad","2. Information",49.5553381215226
"160285",61,"2. Married","1. White","5. Advanced Degree","2. Information",130.982177377461
"229001",66,"2. Married","2. Black","3. Some College","2. Information",118.884359339886
"230839",50,"3. Widowed","1. White","2. HS Grad","1. Industrial",109.833985642199
"157453",55,"2. Married","1. White","4. College Grad","2. Information",105.927810775063
"87789",41,"2. Married","1. White","4. College Grad","1. Industrial",73.7757432746946
"230302",71,"4. Divorced","1. White","4. College Grad","2. Information",87.9810327856054
"160949",22,"1. Never Married","1. White","4. College Grad","1. Industrial",78.3924668009837
"302490",48,"2. Married","1. White","4. College Grad","2. Information",123.089699847943
"452615",35,"2. Married","1. White","3. Some College","1. Industrial",116.265324062503
"158466",51,"2. Married","1. White","1. < HS Grad","1. Industrial",109.833985642199
"8344",55,"2. Married","1. White","2. HS Grad","2. Information",104.921506533664
"374803",57,"2. Married","1. White","2. HS Grad","1. Industrial",94.0727147457005
"12491",21,"2. Married","1. White","2. HS Grad","1. Industrial",141.77517233318
"232762",60,"2. Married","1. White","5. Advanced Degree","2. Information",128.680488220624
"230998",41,"1. Never Married","2. Black","3. Some College","1. Industrial",73.7757432746946
"13464",32,"1. Never Married","1. White","4. College Grad","2. Information",94.0727147457005
"234248",36,"4. Divorced","1. White","3. Some College","1. Industrial",107.903923866876
"234357",28,"1. Never Married","1. White","2. HS Grad","1. Industrial",64.5420748732979
"228029",55,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
"159068",36,"2. Married","2. Black","3. Some College","1. Industrial",109.833985642199
"228443",46,"1. Never Married","2. Black","3. Some College","2. Information",90.4819133566401
"376883",62,"2. Married","1. White","2. HS Grad","1. Industrial",89.4924795180001
"228418",36,"2. Married","1. White","4. College Grad","1. Industrial",118.884359339886
"80966",41,"2. Married","1. White","2. HS Grad","2. Information",148.413159102577
"229478",22,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
"374483",51,"2. Married","1. White","5. Advanced Degree","2. Information",129.983634818897
"381181",57,"2. Married","1. White","1. < HS Grad","2. Information",110.782650276254
"12955",55,"2. Married","1. White","2. HS Grad","2. Information",114.475713290347
"161502",36,"2. Married","1. White","4. College Grad","2. Information",148.413159102577
"380218",43,"2. Married","1. White","5. Advanced Degree","2. Information",276.778413321176
"229899",27,"1. Never Married","1. White","3. Some College","2. Information",103.90247060316
"450849",44,"1. Never Married","1. White","1. < HS Grad","1. Industrial",71.6867436659172
"376406",56,"2. Married","3. Asian","4. College Grad","1. Industrial",276.778413321176
"156645",36,"2. Married","1. White","1. < HS Grad","1. Industrial",99.6894636984864
"14338",28,"1. Never Married","1. White","3. Some College","1. Industrial",108.874525834712
"14140",39,"2. Married","1. White","2. HS Grad","1. Industrial",79.8549003093467
"380621",42,"1. Never Married","2. Black","2. HS Grad","2. Information",78.9846061809321
"447629",51,"2. Married","1. White","1. < HS Grad","1. Industrial",82.6796372966372
"86490",55,"2. Married","2. Black","2. HS Grad","2. Information",89.4924795180001
"302168",39,"1. Never Married","1. White","5. Advanced Degree","2. Information",130.982177377461
"158551",42,"2. Married","1. White","1. < HS Grad","1. Industrial",109.706051812711
"233702",33,"2. Married","2. Black","5. Advanced Degree","2. Information",117.146816914805
"378925",23,"1. Never Married","1. White","2. HS Grad","2. Information",73.7757432746946
"160680",40,"2. Married","1. White","4. College Grad","1. Industrial",81.2832532842527
"158298",40,"2. Married","1. White","3. Some College","1. Industrial",80.8581959564691
"450290",51,"2. Married","3. Asian","3. Some College","1. Industrial",107.903923866876
"305059",76,"2. Married","3. Asian","4. College Grad","1. Industrial",76.8936025176112
"160924",27,"5. Separated","1. White","3. Some College","1. Industrial",95.2307125669819
"10344",25,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"8757",27,"2. Married","1. White","3. Some College","1. Industrial",101.402052302992
"82071",33,"1. Never Married","1. White","3. Some College","2. Information",87.9810327856054
"9139",22,"1. Never Married","1. White","4. College Grad","2. Information",94.0727147457005
"10933",47,"2. Married","1. White","2. HS Grad","1. Industrial",128.199636871795
"379247",47,"4. Divorced","1. White","3. Some College","1. Industrial",107.903923866876
"14109",46,"2. Married","1. White","2. HS Grad","1. Industrial",91.6992261117042
"234415",47,"2. Married","1. White","2. HS Grad","2. Information",78.3924668009837
"155250",40,"2. Married","2. Black","4. College Grad","1. Industrial",136.15771083723
"85134",51,"2. Married","1. White","1. < HS Grad","2. Information",81.2832532842527
"159971",58,"2. Married","1. White","2. HS Grad","2. Information",109.833985642199
"9591",48,"2. Married","2. Black","3. Some College","1. Industrial",87.7884362154584
"301931",56,"1. Never Married","1. White","5. Advanced Degree","2. Information",154.072997206315
"307750",61,"2. Married","1. White","2. HS Grad","1. Industrial",109.833985642199
"453302",32,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",138.299126920883
"307225",60,"2. Married","1. White","4. College Grad","2. Information",164.646988930328
"230293",42,"2. Married","1. White","3. Some College","1. Industrial",138.299126920883
"154660",22,"1. Never Married","3. Asian","3. Some College","2. Information",44.9782920272516
"156739",46,"2. Married","1. White","3. Some College","1. Industrial",106.723977625299
"8789",53,"2. Married","1. White","1. < HS Grad","2. Information",114.475713290347
"447995",32,"1. Never Married","1. White","2. HS Grad","1. Industrial",75.3556793180091
"447215",30,"2. Married","1. White","4. College Grad","1. Industrial",141.77517233318
"448598",50,"1. Never Married","2. Black","5. Advanced Degree","2. Information",109.833985642199
"229234",40,"2. Married","1. White","5. Advanced Degree","2. Information",277.79948020565
"447888",55,"2. Married","1. White","1. < HS Grad","2. Information",79.8549003093467
"82715",42,"2. Married","1. White","4. College Grad","2. Information",166.324941233877
"82946",35,"1. Never Married","1. White","2. HS Grad","1. Industrial",75.3556793180091
"80449",33,"2. Married","1. White","4. College Grad","2. Information",100.086742317948
"86044",33,"2. Married","1. White","3. Some College","2. Information",102.870246933215
"450096",41,"2. Married","1. White","2. HS Grad","2. Information",117.146816914805
"448535",42,"2. Married","1. White","5. Advanced Degree","2. Information",123.500017774584
"450450",58,"2. Married","1. White","4. College Grad","2. Information",148.413159102577
"451844",45,"2. Married","1. White","2. HS Grad","1. Industrial",76.8936025176112
"451460",47,"1. Never Married","1. White","2. HS Grad","2. Information",109.833985642199
"11973",30,"2. Married","1. White","2. HS Grad","2. Information",105.927810775063
"452739",34,"2. Married","1. White","4. College Grad","2. Information",160.642475408263
"230033",43,"2. Married","1. White","5. Advanced Degree","2. Information",149.695042068453
"377968",58,"5. Separated","1. White","1. < HS Grad","1. Industrial",99.6894636984864
"447810",44,"2. Married","2. Black","3. Some College","1. Industrial",104.923531700709
"83273",46,"2. Married","1. White","3. Some College","2. Information",105.927810775063
"381222",36,"2. Married","1. White","3. Some College","1. Industrial",107.903923866876
"301976",37,"2. Married","2. Black","2. HS Grad","2. Information",70.8150386167557
"381289",47,"2. Married","1. White","4. College Grad","2. Information",160.642475408263
"307040",56,"4. Divorced","1. White","3. Some College","2. Information",99.6894636984864
"450227",38,"2. Married","1. White","3. Some College","2. Information",111.720849360989
"302539",41,"1. Never Married","2. Black","1. < HS Grad","1. Industrial",75.3556793180091
"86544",62,"2. Married","1. White","3. Some College","2. Information",94.0727147457005
"86015",40,"2. Married","1. White","3. Some College","2. Information",87.9810327856054
"84882",44,"2. Married","3. Asian","5. Advanced Degree","2. Information",123.089699847943
"378528",51,"2. Married","2. Black","3. Some College","1. Industrial",76.8936025176112
"7539",41,"2. Married","1. White","3. Some College","1. Industrial",86.6951548289402
"379720",27,"2. Married","1. White","3. Some College","2. Information",100.764272842107
"87842",52,"2. Married","1. White","4. College Grad","1. Industrial",114.475713290347
"12496",51,"4. Divorced","1. White","2. HS Grad","1. Industrial",67.1792914754174
"453550",51,"2. Married","1. White","2. HS Grad","1. Industrial",79.8549003093467
"12905",28,"1. Never Married","1. White","4. College Grad","2. Information",90.4819133566401
"307423",49,"1. Never Married","1. White","2. HS Grad","2. Information",57.9709421772731
"229722",39,"2. Married","1. White","2. HS Grad","2. Information",99.6894636984864
"13420",23,"1. Never Married","1. White","1. < HS Grad","1. Industrial",89.4924795180001
"305048",53,"2. Married","1. White","5. Advanced Degree","1. Industrial",151.805096289083
"81872",55,"1. Never Married","3. Asian","3. Some College","2. Information",87.9810327856054
"11889",48,"1. Never Married","2. Black","2. HS Grad","2. Information",87.9810327856054
"301313",50,"2. Married","1. White","4. College Grad","2. Information",104.921506533664
"304644",53,"2. Married","1. White","2. HS Grad","1. Industrial",128.680488220624
"380216",49,"2. Married","1. White","4. College Grad","1. Industrial",154.68529299563
"154881",49,"1. Never Married","1. White","4. College Grad","1. Industrial",130.982177377461
"85010",43,"2. Married","1. White","2. HS Grad","1. Industrial",120.589436530402
"303653",20,"1. Never Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"374554",46,"4. Divorced","1. White","2. HS Grad","2. Information",110.172930287822
"7830",48,"2. Married","1. White","4. College Grad","1. Industrial",152.216806827106
"83763",56,"4. Divorced","1. White","4. College Grad","1. Industrial",85.3839403789827
"450610",23,"1. Never Married","1. White","2. HS Grad","1. Industrial",85.3839403789827
"8736",42,"1. Never Married","1. White","4. College Grad","2. Information",101.82435207568
"379881",32,"2. Married","1. White","5. Advanced Degree","1. Industrial",118.884359339886
"161031",32,"1. Never Married","1. White","2. HS Grad","1. Industrial",73.7757432746946
"156574",43,"2. Married","1. White","2. HS Grad","1. Industrial",73.7757432746946
"380839",57,"1. Never Married","2. Black","4. College Grad","1. Industrial",138.610994032645
"449794",67,"4. Divorced","1. White","3. Some College","2. Information",151.591484239814
"231420",49,"4. Divorced","1. White","3. Some College","2. Information",103.90247060316
"10519",29,"1. Never Married","1. White","4. College Grad","1. Industrial",128.680488220624
"381177",41,"2. Married","1. White","3. Some College","1. Industrial",108.874525834712
"229249",35,"2. Married","1. White","2. HS Grad","2. Information",87.9810327856054
"453598",39,"2. Married","1. White","2. HS Grad","1. Industrial",95.2307125669819
"82185",33,"5. Separated","2. Black","3. Some College","2. Information",98.5993438603892
"453746",53,"2. Married","1. White","4. College Grad","2. Information",141.77517233318
"448132",43,"2. Married","3. Asian","4. College Grad","2. Information",123.089699847943
"84715",38,"2. Married","1. White","5. Advanced Degree","2. Information",148.413159102577
"155547",58,"2. Married","1. White","2. HS Grad","1. Industrial",104.921506533664
"8414",34,"1. Never Married","2. Black","2. HS Grad","1. Industrial",94.5960991038653
"304459",30,"2. Married","1. White","4. College Grad","2. Information",127.115743812184
"155401",39,"2. Married","1. White","4. College Grad","2. Information",129.453644576625
"228504",28,"1. Never Married","2. Black","3. Some College","1. Industrial",109.833985642199
"376032",54,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"305001",24,"1. Never Married","1. White","3. Some College","1. Industrial",90.4819133566401
"10568",57,"2. Married","1. White","5. Advanced Degree","1. Industrial",70.8150386167557
"158869",48,"5. Separated","2. Black","2. HS Grad","2. Information",95.2307125669819
"82571",31,"2. Married","1. White","3. Some College","2. Information",109.833985642199
"233856",47,"1. Never Married","1. White","5. Advanced Degree","2. Information",182.020620963512
"158028",41,"1. Never Married","1. White","4. College Grad","2. Information",130.982177377461
"450739",32,"1. Never Married","3. Asian","3. Some College","1. Industrial",109.833985642199
"85005",42,"2. Married","2. Black","3. Some College","2. Information",111.720849360989
"12029",24,"1. Never Married","1. White","4. College Grad","2. Information",172.217265521809
"233756",44,"4. Divorced","1. White","5. Advanced Degree","2. Information",129.453644576625
"228877",30,"1. Never Married","3. Asian","4. College Grad","2. Information",127.115743812184
"233966",58,"2. Married","1. White","4. College Grad","2. Information",134.705375118879
"376565",33,"1. Never Married","1. White","2. HS Grad","2. Information",94.0727147457005
"375596",56,"2. Married","1. White","2. HS Grad","1. Industrial",94.0727147457005
"7603",28,"2. Married","1. White","3. Some College","1. Industrial",96.9340904570115
"376986",41,"2. Married","3. Asian","5. Advanced Degree","2. Information",276.778413321176
"448055",22,"2. Married","1. White","3. Some College","1. Industrial",32.3664131748549
"81116",37,"4. Divorced","1. White","3. Some College","1. Industrial",84.450253670189
"228861",18,"1. Never Married","1. White","1. < HS Grad","1. Industrial",65.1108537153447
"87034",37,"1. Never Married","1. White","4. College Grad","2. Information",84.7183897030478
"305311",43,"2. Married","1. White","4. College Grad","1. Industrial",167.706575552614
"378766",49,"2. Married","2. Black","2. HS Grad","2. Information",94.0727147457005
"13578",36,"2. Married","1. White","4. College Grad","1. Industrial",134.705375118879
"302454",47,"2. Married","2. Black","5. Advanced Degree","1. Industrial",81.2832532842527
"160354",52,"2. Married","1. White","4. College Grad","1. Industrial",134.705375118879
"83954",62,"2. Married","1. White","4. College Grad","2. Information",130.982177377461
"302858",44,"2. Married","1. White","1. < HS Grad","1. Industrial",104.921506533664
"448547",35,"1. Never Married","1. White","4. College Grad","1. Industrial",148.413159102577
"154312",42,"2. Married","1. White","2. HS Grad","1. Industrial",89.2428846644714
"13095",34,"1. Never Married","1. White","4. College Grad","1. Industrial",82.6796372966372
"155937",50,"2. Married","3. Asian","4. College Grad","1. Industrial",94.0727147457005
"233677",50,"4. Divorced","1. White","4. College Grad","2. Information",153.457515308961
"82261",55,"2. Married","1. White","4. College Grad","2. Information",46.7632687977187
